HOCN               2   232.400     3.828     0.000     0.000     1.000 	43.025
HNCO               2   232.400     3.828     0.000     0.000     1.000 	43.028
HNNO               2   232.400     3.828     0.000     0.000     1.000 	45.021
HNO                2   116.700     3.492     0.000     0.000     1.000 	31.014
HNOH               2   116.700     3.492     0.000     0.000     1.000 	32.022
HO2                2   107.400     3.458     0.000     0.000     1.000 	33.007
N                  0    71.400     3.298     0.000     0.000     0.000 	14.007
N2                 1    97.530     3.621     0.000     1.760     4.000	28.013
N2H2               2    71.400     3.798     0.000     0.000     1.000 	30.029
N2H3               2   200.000     3.900     0.000     0.000     1.000 	31.037
N2H4               2   205.000     4.230     0.000     4.260     1.500	32.043
N2O                1   232.400     3.828     0.000     0.000     1.000 	44.013
NCN                1   232.400     3.828     0.000     0.000     1.000 	40.024
NCO                1   232.400     3.828     0.000     0.000     1.000 	42.017
NH                 1    80.000     2.650     0.000     0.000     4.000	15.015
NH2                2    80.000     2.650     0.000     2.260     4.000	16.023
NH3                2   481.000     2.920     1.470     0.000    10.000	17.031
NNH                2    71.400     3.798     0.000     0.000     1.000 	29.021
NO                 1    97.530     3.621     0.000     1.760     4.000	30.006
NCNO               2   232.400     3.828     0.000     0.000     1.000 	56.024
NO2                2   200.000     3.500     0.000     0.000     1.000 	56.006
O                  0    80.000     2.750     0.000     0.000     0.000	15.999
O2                 1   107.400     3.458     0.000     1.600     3.800	31.999
OH                 1    80.000     2.750     0.000     0.000     0.000	17.007
